"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","2","","7","0","","0"
"1","User Experience","0","Data Formatting","0","0","US-408: As a user, I want consistent date formatting","0"
"1","API Integration","0","Data Synchronization","0","0","US-305: As a user, I want to see updated data after operations","0"
"0","API Integration","1","Data Validation","0","0","US-306: As a system, I want to prevent duplicate email addresses","0"
"0","Authentication & Authorization","1","Session Persistence","0","0","US-707: As a developer, I want my authentication to persist during my session","0"
"1","User Experience","0","Interactive Feedback","0","0","US-403: As a user, I want visual feedback on interactive elements","0"
"0","Performance","0","Input Responsiveness","1","0","US-504: As a user, I want immediate input feedback","0"
"1","User Management","0","User Experience","0","0","US-206: As a user, I want to cancel editing operations","0"
"0","Accessibility","0","Validation Feedback","1","0","US-606: As a user, I want accessible validation messages","0"
"0","Performance","1","Scalability","0","0","US-503: As a system, I want to handle large datasets efficiently","0"
"0","User Management","1","User CRUD Operations","0","0","US-203: As a user, I want to create new users","0"
"0","Authentication & Authorization","1","Swagger UI Security","0","0","US-702: As a developer, I want to configure API authentication credentials","0"
"0","Authentication & Authorization","1","Credentials Management","0","0","US-703: As a developer, I want to enter my API credentials securely","0"
"0","API Integration","0","Network Resilience","1","0","US-304: As a system, I want to handle network timeouts gracefully","0"
"0","User Management","0","User Registration","2","0","US-102: As a user, I want email validation to prevent typos","0"
"0","API Integration","0","Loading States","1","0","US-302: As a user, I want to see loading indicators during API calls","0"
"0","User Management","1","User Registration","2","0","US-101: As a user, I want to register with my name and email","0"
"1","User Experience","0","Navigation","0","0","US-409: As a user, I want to auto-scroll to edit form","0"
"0","API Integration","0","HTTP Requests","1","0","US-303: As a system, I want to send correctly formatted API requests","0"
"0","Performance","1","Data Loading Performance","0","0","US-502: As a user, I want quick data loading","0"
"0","User Experience","1","Data Display","0","0","US-407: As a user, I want clear table headers","0"
"1","Accessibility","0","Table Accessibility","0","0","US-605: As a screen reader user, I want properly structured tables","0"
"0","User Management","0","Application Layout","1","0","US-201: As a user, I want to see the application title","0"
"0","Performance","1","UI Update Performance","0","0","US-506: As a user, I want fast UI updates after operations","0"
"0","Authentication & Authorization","1","API Endpoint Protection","0","0","US-705: As a developer, I want to identify which endpoints require authentication","0"
"0","Authentication & Authorization","1","Swagger UI Security","0","0","US-701: As a developer, I want to see authentication options in Swagger UI","0"
"0","User Management","0","Data Sanitization","1","0","US-106: As a system, I want to prevent XSS attacks via input sanitization","0"
"0","Accessibility","0","Semantic HTML","1","0","US-601: As a screen reader user, I want proper heading structure","0"
"0","Authentication & Authorization","1","API Documentation","0","0","US-710: As a developer, I want to understand the authentication scheme used","0"
"0","User Experience","1","Notification System","0","0","US-404: As a user, I want clear success notifications","0"
"0","Authentication & Authorization","1","Error Handling","0","0","US-708: As a developer, I want clear feedback when authentication fails","0"
"0","User Experience","0","Keyboard Navigation","1","0","US-405: As a user, I want to navigate using keyboard only","0"
"0","Authentication & Authorization","1","Session Management","0","0","US-706: As a developer, I want to log out and clear my credentials","0"
"0","User Experience","1","Accessibility","0","0","US-402: As a user, I want readable text with good contrast","0"
"1","Accessibility","0","ARIA Attributes","0","0","US-602: As a screen reader user, I want labeled interactive elements","0"
"0","Authentication & Authorization","1","Authentication Methods","0","0","US-709: As a developer, I want to authenticate using API keys","0"
"1","User Management","0","Batch Operations","0","0","US-208: As a user, I want to create multiple users efficiently","0"
"0","Accessibility","0","Keyboard Navigation","1","0","US-604: As a keyboard user, I want to navigate without a mouse","0"
"1","User Management","0","User CRUD Operations","0","0","US-205: As a user, I want to delete users","0"
"0","User Management","0","Input Validation","1","0","US-104: As a system, I want to enforce field length limits","0"
"0","Performance","1","Concurrent Operations","0","0","US-505: As a system, I want to handle rapid submissions","0"
"0","User Management","0","User Experience","1","0","US-105: As a user, I want immediate validation feedback","0"
"0","Accessibility","0","Form Accessibility","1","0","US-603: As a screen reader user, I want labeled form fields","0"
"0","Performance","0","Page Load Performance","1","0","US-501: As a user, I want fast page load times","0"
"0","User Management","0","Input Validation","1","0","US-207: As a system, I want to prevent empty form submissions","0"
"1","User Management","0","User CRUD Operations","0","0","US-204: As a user, I want to edit existing users","0"
"0","User Management","1","Data Sanitization","0","0","US-103: As a system, I want to trim whitespace from user inputs","0"
"0","User Experience","1","Responsive Design","0","0","US-401: As a user, I want the app to work on different screen sizes","0"
"0","User Management","1","User List Display","0","0","US-202: As a user, I want to view all registered users","0"
"0","User Experience","1","Loading States","0","0","US-406: As a user, I want to see when operations are in progress","0"
"0","Authentication & Authorization","1","Session Management","0","0","US-704: As a developer, I want visual confirmation of my authenticated state","0"
"0","API Integration","0","Error Handling","1","0","US-301: As a system, I want to handle API errors gracefully","0"
